BC_ID BC_Counts Mut_ID
73463 100 74
4026 1762 48
88718 895 763
131111 1772 534
117673 1552 522
23444 12 742
154890 1 1000
193358 2 619
5982 1272 775
10891 3696 799
55299 2 434
22262 764 20
32837 2 628
7518 1 159
52269 3 651
25069 2345 802
117348 1098 48
127490 13 856
60353 351 981
119468 1 790
139347 2264 896
130468 1 366
6794 1997 892
239041 3843 85
135031 42 119
294 16 149
69887 2 362
17650 22 954
63735 1289 390
117526 6 684
4657 5247 423
55835 1 159
276 3 149
279 700 109
22484 1285 453
158540 269 132
12011 250 718
312970 4007 456
16385 39 439
69721 1 411
81620 63 349
64678 8 148
17032 1450 226
122969 3 326
10702 1 993
46793 61 1014
8094 1 35
2515 1 830
102 58 488
103 1 877
49561 1878 566
107 1 212
4148 1366 159
16819 167 55
333 2 512
251174 1 809
185917 20 423
85186 1343 1004
102448 1 59
9411 20 500
3150 1 421
21923 1 970
57076 1153 930
11611 1387 159
45444 421 874
141948 1 1003
20521 573 898
204061 364 456
159843 1 657
33474 1911 742
41343 847 757
182063 6659 235
231986 1 894
24082 624 97
9326 1 258
17721 2170 80
17722 1 767
139936 2 162
54952 7396 381
116124 23 372
142027 31 1007
54955 346 159
8949 1471 718
3510 1648 628
2689 101 605
84058 5853 9
36027 46 717
26976 69 958
203384 22 767
99 2 810
294034 224 564
71572 1067 423
20415 1600 47
9619 2 1001
95 1271 710
48411 2 343
1627 68 192
1629 1 1012
33679 29 115
118801 1 896
54391 4 926
242849 1 74
2860 1 815
33853 45 48
59927 2563 113
132348 1073 903
5409 11 813
59108 1619 412
55240 1 597
24235 1 1012
29561 3382 423
37178 5454 692
147277 2307 439
37776 1 446
37957 288 213
37959 393 729
1756 475 769
1175 1 97
15444 2 405
8167 5911 153
76574 6 75
76576 17 302
18148 2123 1002
118898 1260 829
5537 835 32
76084 959 670
272574 1 924
1287 3 546
225276 30 596
11167 2 247
86742 1 613
682 316 474
14920 1 715
189219 344 390
229429 1649 138
8386 2465 536
73651 15 245
184539 2 903
8548 1 109
8545 165 805
15282 1256 960
4389 418 534
55115 2438 647
87336 4 149
95948 18 278
6579 8 401
4386 1 432
87807 2 271
406 1 376
73721 7 1014
143422 1 309
18805 1 1002
145925 185 213
63864 1 859
25942 1409 403
3830 4 906
3833 709 34
214400 1 965
145748 1077 330
72413 6 233
4036 2018 8
22677 3 975
28989 7 247
51278 1659 439
93228 1 843
36681 1 690
379 1658 111
91517 1 7
91841 3669 639
55025 1390 981
19140 1 149
103379 1964 256
182591 1898 9
304554 597 819
56220 2 727
89033 579 584
35440 10274 423
88639 4246 896
23877 1 886
10979 627 764
52926 1 367
4723 9 807
31903 1 421
11288 2 100
5844 1 353
21115 3 468
57261 1100 969
32006 2 780
182286 3884 476
56407 260 625
11757 2820 573
64597 40 582
12000 2319 1012
69748 5822 41
205632 51 692
250386 1 979
9241 502 111
122602 1 954
40965 1 343
38423 379 475
149136 3 599
179 1 482
17999 3 265
80107 33 442
4829 1 547
185671 2 309
29154 17 727
4532 2046 1012
21930 752 34
9408 2 228
12136 19 977
140422 1440 412
57317 3608 217
9336 1 113
48559 2346 426
317739 1 585
10158 1103 395
204079 1 261
54564 1 456
124436 308 520
313423 1 175
24170 1313 962
22805 1988 886
10395 845 623
81962 1965 700
52741 1 423
46870 29 1012
9620 243 205
37786 7 209
49315 13 149
45783 366 715
63874 1 768
320516 157 517
2691 157 202
15708 1 807
15709 16 279
54980 37 935
137077 2116 34
6812 1 313
