STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	23990	886	1_SC3	1	0	0	0	0
DivAnc	73463	74	1_SC3	67	321	167	389	257
DivAnc	268076	213	1_SC3	1	11	0	0	0
DivAnc	4026	48	1_SC3	607	3734	2007	3996	2850
DivAnc	239041	85	1_SC3	952	5937	2808	5676	4433
DivAnc	131111	534	1_SC3	289	1605	790	1752	1272
DivAnc	144336	996	1_SC3	1	3	3	0	0
DivAnc	263633	347	1_SC3	1	0	0	0	0
DivAnc	23446	651	1_SC3	16	87	36	50	60
DivAnc	117673	522	1_SC3	610	3634	1841	3975	3077
DivAnc	23444	742	1_SC3	51	261	112	234	143
DivAnc	82103	195	1_SC3	1	10	15	26	15
DivAnc	5982	775	1_SC3	343	1950	872	1903	1381
DivAnc	64036	887	1_SC3	1	0	0	0	0
DivAnc	10891	799	1_SC3	626	3946	1948	3880	3441
DivAnc	55299	434	1_SC3	1	8	0	0	0
DivAnc	22262	20	1_SC3	236	1482	733	1448	1267
DivAnc	24714	985	1_SC3	1	0	0	0	0
DivAnc	32837	628	1_SC3	5	23	20	43	27
DivAnc	7518	159	1_SC3	2	2	5	12	18
DivAnc	52269	651	1_SC3	12	73	41	92	65
DivAnc	25069	802	1_SC3	564	3205	1488	2820	2328
DivAnc	130134	48	1_SC3	1	0	0	0	0
DivAnc	74359	729	1_SC3	1	0	0	0	0
DivAnc	127490	856	1_SC3	64	437	250	658	599
DivAnc	60353	981	1_SC3	43	261	118	258	178
DivAnc	130468	366	1_SC3	1	0	0	0	0
DivAnc	6794	892	1_SC3	466	2598	1515	3187	2618
DivAnc	88718	763	1_SC3	229	1400	711	1462	1197
DivAnc	135031	119	1_SC3	69	362	158	366	175
DivAnc	294	149	1_SC3	112	792	322	684	462
DivAnc	17650	954	1_SC3	47	402	182	265	239
DivAnc	63735	390	1_SC3	352	2274	1035	2104	1624
DivAnc	117526	684	1_SC3	8	56	23	25	8
DivAnc	100941	85	1_SC3	1	2	0	0	0
DivAnc	4657	423	1_SC3	914	5414	2793	5470	4291
DivAnc	55835	159	1_SC3	2	32	14	44	19
DivAnc	55833	855	1_SC3	39	200	102	217	183
DivAnc	276	149	1_SC3	28	110	36	86	66
DivAnc	43981	935	1_SC3	1	22	11	7	0
DivAnc	279	109	1_SC3	194	1308	656	1300	947
DivAnc	22484	453	1_SC3	235	1504	869	1772	1526
DivAnc	140326	252	1_SC3	1	11	3	0	0
