BC ID	MUT ID	STRAIN	ENV	DAY	T0	T1	T2	T3	T4
30	1012	DivAnc	SC3	1	53	375	123	92	55
45	71	DivAnc	SC3	1	263	1080	668	984	1213
49	252	DivAnc	SC3	1	2	1	0	1	2
51	993	DivAnc	SC3	1	2	0	1	2	4
53	340	DivAnc	SC3	1	213	1023	338	424	665
54	266	DivAnc	SC3	1	2	3	1	2	1
95	710	DivAnc	SC3	1	259	1482	666	857	766
99	810	DivAnc	SC3	1	1	2	1	0	2
102	488	DivAnc	SC3	1	62	136	45	75	39
107	212	DivAnc	SC3	1	1	2	2	0	1
128	639	DivAnc	SC3	1	610	2598	1848	2834	3702
151	710	DivAnc	SC3	1	530	2105	997	1275	1043
160	781	DivAnc	SC3	1	77	273	169	155	133
179	482	DivAnc	SC3	1	1	0	0	4	1
196	898	DivAnc	SC3	1	328	1611	678	1188	1288
208	337	DivAnc	SC3	1	294	1272	661	1072	1378
215	426	DivAnc	SC3	1	229	1238	653	668	629
226	526	DivAnc	SC3	1	1	3	0	2	1
227	133	DivAnc	SC3	1	70	76	81	93	39
229	266	DivAnc	SC3	1	1	1	1	2	1
233	930	DivAnc	SC3	1	209	1095	504	689	884
235	781	DivAnc	SC3	1	173	893	541	757	751
256	631	DivAnc	SC3	1	251	1590	884	1399	1312
270	806	DivAnc	SC3	1	0	1	0	1	0
279	109	DivAnc	SC3	1	120	664	343	391	458
281	272	DivAnc	SC3	1	0	0	1	0	0
284	622	DivAnc	SC3	1	493	2140	1040	1455	1774
294	149	DivAnc	SC3	1	73	135	29	28	16
300	109	DivAnc	SC3	1	228	842	380	549	485
308	163	DivAnc	SC3	1	112	482	408	646	366
359	189	DivAnc	SC3	1	38	49	46	32	21
379	111	DivAnc	SC3	1	136	713	465	742	974
387	266	DivAnc	SC3	1	511	2532	1315	1624	1927
388	26	DivAnc	SC3	1	110	678	314	499	584
411	296	DivAnc	SC3	1	315	1272	924	1206	1429
421	509	DivAnc	SC3	1	3	1	1	3	2
430	115	DivAnc	SC3	1	336	1955	1232	1677	1741
436	536	DivAnc	SC3	1	540	2828	1560	2305	2551
445	120	DivAnc	SC3	1	4	3	0	5	1
472	364	DivAnc	SC3	1	337	1844	1007	1741	2465
556	4	DivAnc	SC3	1	3	1	1	0	3
578	2	DivAnc	SC3	1	140	630	318	304	257
600	512	DivAnc	SC3	1	487	1838	1331	1567	1317
606	960	DivAnc	SC3	1	142	643	470	694	695
609	622	DivAnc	SC3	1	368	1998	873	1268	1342
610	125	DivAnc	SC3	1	303	1678	1308	1820	2297
618	318	DivAnc	SC3	1	2	1	0	0	0
627	283	DivAnc	SC3	1	0	0	0	0	1
628	212	DivAnc	SC3	1	4	2	1	0	0
637	983	DivAnc	SC3	1	9	2	7	7	5
640	855	DivAnc	SC3	1	0	0	29	1	0
675	695	DivAnc	SC3	1	3	7	0	0	0
682	474	DivAnc	SC3	1	130	374	153	174	183
694	985	DivAnc	SC3	1	3	1	1	3	0
698	376	DivAnc	SC3	1	0	1	1	2	2
705	416	DivAnc	SC3	1	0	0	0	1	0
722	48	DivAnc	SC3	1	331	1530	785	1451	1577
744	569	DivAnc	SC3	1	1	0	0	1	0
