BC_ID BC_Counts Mut_ID
78127 2 374
127010 1 625
73463 278 74
8167 6731 153
268076 1 213
4026 2761 48
239041 5164 85
131111 2509 534
23446 11 651
117673 2839 522
23444 34 742
5982 1963 775
160 482 781
10891 3814 799
55299 1 434
103548 1 547
22262 1442 20
24714 1 985
294926 1 647
30414 1 302
52269 14 651
96555 2 757
25069 3027 802
74359 1 729
127490 161 856
60353 352 981
113017 1 802
82225 3 794
88718 876 763
135031 82 119
294 221 149
69887 2 362
100704 1 802
17650 47 954
63735 2416 390
117526 9 684
4657 5893 423
55835 2 159
55833 129 855
276 74 149
43981 1 935
279 1182 109
22484 1383 453
117092 1 186
158540 627 132
12011 264 718
312970 3609 456
16385 54 439
81620 154 349
64678 9 148
17032 2127 226
64299 2 486
60093 1 215
46793 675 1014
5822 1 205
21619 2 302
102 215 488
49561 2360 566
107 2 212
4148 2111 159
16819 424 55
333 1 512
125888 2 423
185917 20 423
85186 1331 1004
102448 3 59
9411 40 500
64905 4 481
21923 1 970
98280 1752 985
11611 2362 159
45444 770 874
85430 2 912
10633 35 695
294543 1 85
45666 1 534
20521 1887 898
204061 255 456
125409 1 898
33474 2411 742
41343 1138 757
182063 7644 235
5116 3321 886
24082 834 97
139933 1 147
17721 2175 80
139936 6 162
54952 7312 381
116124 44 372
142027 43 1007
54955 901 159
8949 1978 718
18066 1 388
3510 3492 628
134506 1 941
2689 781 605
84058 3873 9
36027 63 717
102158 188 353
26976 139 958
15715 53 440
41690 1 227
62648 1 205
99 2 810
294034 148 564
71572 1885 423
20415 1909 47
9619 2 1001
95 2723 710
219159 1 926
1627 587 192
322962 1368 648
1629 1 1012
14681 2 800
33679 67 115
112227 17 209
242849 2 74
33851 1 836
33853 81 48
83859 1 988
554 1 388
59927 1991 113
132348 1614 903
58455 1 853
28560 1 7
5409 12 813
59108 2679 412
55240 3 597
151630 2 802
24235 1 1012
52618 1 1004
61147 1 926
79196 2 76
29561 4233 423
37178 5527 692
147277 3394 439
40965 1 343
115335 1 829
37957 770 213
37959 1311 729
29764 3304 809
1175 12 97
31698 3722 423
8164 1 445
76574 18 75
31127 1 754
76576 31 302
18148 2947 1002
118898 2217 829
5537 2037 32
76084 1231 670
27610 1 792
1287 5 546
225276 44 596
110836 24 190
11167 39 247
86742 1 613
5102 1 71
34376 1 979
83726 4 383
94495 2 780
29100 1 201
682 653 474
189219 511 390
229429 2353 138
8386 2964 536
73651 26 245
184539 1 903
179025 2469 843
8545 393 805
77687 1 768
15282 2022 960
4389 299 534
55115 2810 647
87336 5 149
95948 40 278
6579 292 401
87807 1 271
406 1 376
73721 44 1014
34154 2 597
145925 177 213
63864 2 859
25942 2620 403
28387 3 133
3830 122 906
3833 933 34
214400 2 965
145748 1735 330
4031 3 75
4036 2110 8
78847 76 85
307680 2 173
198789 1 177
28989 317 247
51278 1618 439
77281 2 308
93228 1 843
379 1204 111
7523 1 391
91517 1 7
91841 3612 639
107388 1 1011
55025 2426 981
370 1 256
92315 1 874
181571 1240 50
182591 2239 9
26443 2 647
304554 1232 819
56220 2 727
27727 1 786
70988 1 99
35440 14619 423
88639 4230 896
112280 1 506
6784 2 623
6786 1 764
10979 357 764
52926 2 367
4723 10 807
31903 2 421
11288 1 100
5844 268 353
222798 1 648
165832 1 729
3747 1 520
57261 2328 969
41828 2 763
117240 1 353
32006 4 780
182286 4214 476
56407 1143 625
11757 2024 573
64597 77 582
90815 3273 565
69748 4741 41
205632 82 692
9241 413 111
38423 962 475
149136 2 599
3597 1 473
154071 2 453
150618 2075 138
80107 67 442
70558 1 214
185671 2 309
29154 31 727
4532 2595 1012
21930 1623 34
42334 1 683
125300 1 716
12136 54 977
140422 2235 412
57317 5266 217
48559 2222 426
10158 1375 395
35118 1 99
54564 1 456
124436 419 520
64334 2 629
37372 1141 569
22805 2229 886
10395 1309 623
81962 2757 700
52741 3 423
46870 45 1012
9620 732 205
37786 9 209
49315 91 149
270 1 806
45783 971 715
16251 1 173
48310 1 804
85045 2 376
320516 391 517
90678 1 268
2691 906 202
25449 3 1002
15709 19 279
54980 73 935
137077 2553 34
6812 2 313
59623 4 869
53509 922 993
216496 2 461
216491 1 932
319376 1 431
302744 1 258
3231 9809 423
61396 848 134
1618 2768 639
1965 3 846
7329 3355 48
210433 1922 423
8840 3551 195
147993 1 423
41596 560 369
41772 176 393
268193 70 147
68904 3 1009
27542 3 245
20261 95 157
168691 60 205
106739 2 1014
3358 175 912
58683 1103 88
7061 11 975
207077 4 1007
29778 2327 766
169616 519 732
29596 70 326
1143 2191 71
12487 1 519
12485 11549 423
231479 111 745
64991 1 597
37295 2594 729
119329 185 638
12925 883 555
5504 1 513
5503 865 381
27607 154 924
39586 1291 809
47685 3 976
34098 1835 639
698 1 376
187640 2033 423
38294 1606 445
30336 3 190
233341 1373 773
66370 1 1000
313378 1 792
31753 1520 506
96652 54 195
145596 1 544
188605 5 177
77562 1449 461
64178 2 780
105178 31 132
66402 66 434
48944 650 292
9987 62 226
15295 2 536
230679 1690 484
2290 2 205
61758 5637 177
66083 2 947
16 1 648
192306 4528 717
126670 161 896
151390 1 974
411 2197 296
109223 2 986
73713 1 695
5715 1233 180
94401 1 802
245249 1 513
114055 2642 956
43213 2 696
154709 1 853
311033 1 423
82425 2 757
188286 75 573
66883 1 87
93239 1 165
19179 1 84
35325 253 381
32813 2707 866
7537 2003 732
61359 1 353
7533 1494 439
224131 1 612
55257 3 968
65211 2050 177
60338 8 89
16653 2677 996
387 4681 266
388 1201 26
110377 1077 2
195653 1 807
207359 1 809
31973 1 830
10986 2 106
13664 1 913
10983 933 772
224358 1026 506
73444 353 412
19778 1 392
9969 2572 119
56857 1085 757
104482 1 248
3756 4477 227
2191 73 924
195539 1 767
119534 1 383
74450 4131 34
13524 1 534
224919 629 431
51825 807 742
16726 1 252
16236 3 268
12039 1 623
2203 1 846
98597 1076 231
270607 1027 85
12037 187 536
11587 1 254
143988 3123 423
36312 4 83
41917 4 277
102958 1130 1003
17524 110 513
187888 4 959
17292 1468 66
80170 458 690
117348 1905 48
45463 1 9
74769 1 956
6358 32 780
7993 3 86
116694 16 896
104132 2 254
11634 1933 112
42495 3228 31
140450 695 70
2510 2 884
57076 1595 930
74685 3 60
2735 2 733
325795 3 1021
5298 1744 968
46840 1 61
5296 1 577
10165 2792 1005
49328 2 597
60664 5 401
22816 2935 846
179796 2 202
5057 21 381
5050 2 949
148504 1 598
1815 2368 962
16906 3166 959
195318 2 757
102397 165 605
53975 4 986
45263 7 71
42926 3 906
36821 3025 646
97463 1746 246
63866 3943 423
89061 2566 783
134569 3 34
12219 3566 834
236233 3837 423
18897 2903 975
321161 2 921
105719 1 896
48439 3 391
49431 232 353
24172 1 198
37373 2105 866
24170 1866 962
43709 1979 979
247335 2 527
175245 2223 1001
147988 1 1012
108933 880 248
800 24 639
36170 2 836
11969 2 710
83455 2 441
18099 1728 70
30183 67 190
13143 1 544
2847 3132 533
69449 1508 456
3321 1 245
72893 1763 775
63314 1 449
37198 2502 964
268057 1306 539
107603 4 547
38753 3 817
33980 1 333
37978 3 84
269053 2 896
41148 1 856
8148 1282 129
103241 1 268
29125 1 251
40785 61 453
58548 7827 362
312352 2951 171
77915 2 894
28341 35 226
50270 4815 819
25896 1 1007
17999 4 265
30341 1377 248
15592 1 746
111035 1136 864
31210 1745 339
91190 1952 40
8709 9 589
47522 4629 423
132784 44 979
129941 1 724
3294 34 311
5606 1 111
53 1800 340
100552 1 979
29681 1364 601
15028 2 343
91225 644 202
1902 4 421
15022 1 159
50279 1 1016
421 1 509
1395 362 52
1392 2 109
151360 625 767
32489 1096 705
74734 2053 718
23257 730 627
52838 1 898
22384 1428 764
12455 1 547
15334 1 133
6426 4229 802
4298 1 951
294914 1 12
6428 804 4
30968 3561 935
39159 1 173
74934 2 894
66785 1 390
18854 4 859
313969 214 347
197883 3 652
51905 1 95
233990 27 605
51901 1 969
119564 1675 674
73059 1 329
6163 2 710
259674 6 423
98611 1715 1002
60813 4521 112
10996 76 949
69508 40 846
91712 1 366
5869 1279 715
151211 49 652
104257 51 214
215773 4029 648
25412 3 526
17609 35 1007
46473 2254 547
17353 1682 50
74445 1189 979
65680 1 639
227 76 133
4710 223 813
16226 73 237
2211 2873 826
42009 1 530
5604 1 129
293454 2 265
12423 1 819
120155 1 969
12424 1 618
154115 1289 710
97053 3 726
5600 257 906
151 3819 710
153457 1960 95
2438 2 249
6794 2323 892
20718 1900 642
52165 1777 209
19833 3 84
48938 3 804
17511 1411 962
154487 22 710
146668 1 979
204675 10 524
85449 2 947
119492 1 802
179464 1 1002
323402 1 85
49150 587 864
46671 2296 890
26051 8 596
2503 112 353
203384 34 767
11647 1 790
9353 1 343
46853 1 986
99521 1 555
90293 474 60
6519 1 1010
58827 1 333
2729 1 892
17174 1708 526
60673 2745 648
75084 59 227
39807 1 866
27944 2 211
274280 1226 423
16916 2304 1002
204458 775 233
1809 1 710
51929 2 440
21390 1 115
97478 45 607
36813 79 865
105348 2198 138
53516 1 431
125273 1482 596
14852 2567 423
197792 3 407
18886 184 1014
84622 1 800
167890 1 809
26947 516 766
63253 2306 712
44854 984 596
203135 1 1013
193897 1 729
10515 43 687
39713 1176 970
18422 39 893
199572 1 423
90727 1808 48
70745 1 441
11439 2 974
814 1 960
2858 1 323
168303 1 750
112077 2 935
5461 3 461
54328 1 570
5228 1 628
106717 1 175
251856 3388 132
121620 2737 534
5266 1 981
5265 4168 423
68630 1 988
36265 1277 60
48598 1167 215
79036 63 106
71506 1 969
168237 374 505
18170 3173 618
144750 1 72
67314 1 1014
14456 1935 226
11133 5156 757
269179 140 605
18371 4145 423
30287 4760 423
11314 795 973
3029 2883 704
3028 2397 233
77909 1 119
14699 5 792
19363 1 672
179648 823 7
157827 3212 177
40331 954 4
301 2 846
26037 38 433
1237 1 988
76237 1 819
136543 2 60
13868 9018 423
31001 956 680
195818 241 431
5674 1012 310
67791 3298 203
22299 2 625
12627 1 366
137544 1 388
4353 1 544
35902 1738 423
14525 1794 757
180705 44 343
6502 960 72
11008 1 1001
6504 1486 165
171044 1 423
34189 108 381
23061 1615 622
4900 3 252
436 5249 536
29626 3791 921
225622 205 521
430 3517 115
126121 2 149
121260 2 970
117633 1 572
163886 4102 565
145713 1 371
61022 1 976
180127 1384 20
23481 3155 85
43238 1 438
43235 1 1007
188717 3 623
39142 106 250
19112 503 134
30973 1698 432
108300 6 742
6438 32 687
28883 1 574
60928 3 313
164062 1 115
35479 74 9
28864 1 522
110195 960 352
145392 1 308
84822 774 459
22534 1363 52
67588 1 312
172421 1 235
89227 20 954
3062 3 395
100150 1 746
43307 1 704
166443 53 775
55650 1 652
73939 2862 8
160908 1336 1001
5816 523 261
46199 4 969
43492 2 993
57788 8040 423
24975 3 929
96603 1928 965
25390 29 185
16586 45 26
12057 4436 119
12056 3062 468
235 1619 781
13505 3183 468
233 1949 930
2227 3 768
12699 1129 50
1 2 185
65236 1447 684
5920 2863 375
25718 11807 423
96048 474 851
33950 1 733
191558 2740 132
20705 3256 1000
7823 2 648
65542 212 1014
