STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	23990	886	1_SC3	1	11	5	14	3
DivAnc	73463	74	1_SC3	67	257	169	322	285
DivAnc	268076	213	1_SC3	1	0	0	0	0
DivAnc	4026	48	1_SC3	607	3663	1644	3199	2350
DivAnc	239041	85	1_SC3	952	5020	2751	5675	4326
DivAnc	131111	534	1_SC3	289	1584	698	1276	1151
DivAnc	144336	996	1_SC3	1	2	0	0	0
DivAnc	263633	347	1_SC3	1	6	0	0	0
DivAnc	23446	651	1_SC3	16	76	47	93	28
DivAnc	117673	522	1_SC3	610	4010	2024	4472	3169
DivAnc	23444	742	1_SC3	51	293	128	139	166
DivAnc	82103	195	1_SC3	1	14	3	14	3
DivAnc	5982	775	1_SC3	343	1880	870	1770	1311
DivAnc	64036	887	1_SC3	1	3	7	10	23
DivAnc	10891	799	1_SC3	626	3577	1938	3753	2734
DivAnc	55299	434	1_SC3	1	0	0	0	0
DivAnc	22262	20	1_SC3	236	1548	754	1660	1364
DivAnc	24714	985	1_SC3	1	11	9	37	51
DivAnc	32837	628	1_SC3	5	64	28	72	83
DivAnc	7518	159	1_SC3	2	4	2	0	0
DivAnc	52269	651	1_SC3	12	74	31	86	83
DivAnc	25069	802	1_SC3	564	3588	1882	3866	2732
DivAnc	130134	48	1_SC3	1	4	3	5	0
DivAnc	74359	729	1_SC3	1	6	12	41	30
DivAnc	127490	856	1_SC3	64	394	197	369	346
DivAnc	60353	981	1_SC3	43	207	71	137	123
DivAnc	130468	366	1_SC3	1	7	3	0	0
DivAnc	6794	892	1_SC3	466	2494	1446	2739	2236
DivAnc	88718	763	1_SC3	229	1551	709	1124	848
DivAnc	135031	119	1_SC3	69	386	191	410	328
DivAnc	294	149	1_SC3	112	686	314	772	637
DivAnc	17650	954	1_SC3	47	366	145	342	337
DivAnc	63735	390	1_SC3	352	1971	916	2038	1558
DivAnc	117526	684	1_SC3	8	13	9	33	19
DivAnc	100941	85	1_SC3	1	0	0	0	0
DivAnc	4657	423	1_SC3	914	5121	2677	5440	4447
DivAnc	55835	159	1_SC3	2	13	2	11	8
DivAnc	55833	855	1_SC3	39	260	172	389	269
DivAnc	276	149	1_SC3	28	184	69	153	136
DivAnc	43981	935	1_SC3	1	18	12	46	25
DivAnc	279	109	1_SC3	194	1239	680	1527	1142
DivAnc	22484	453	1_SC3	235	1139	537	1161	892
DivAnc	140326	252	1_SC3	1	8	0	0	0
DivAnc	43698	333	1_SC3	1	8	21	21	15
DivAnc	158540	132	1_SC3	134	733	265	401	366
DivAnc	12011	718	1_SC3	59	326	139	300	177
DivAnc	312970	456	1_SC3	571	3657	1830	3584	2833
DivAnc	16385	439	1_SC3	63	234	104	178	170
DivAnc	69721	411	1_SC3	1	2	0	0	0
DivAnc	81620	349	1_SC3	24	181	87	198	118
DivAnc	64678	148	1_SC3	11	73	33	58	78
DivAnc	97886	456	1_SC3	2	15	0	0	0
DivAnc	17032	226	1_SC3	351	1973	863	1734	1577
DivAnc	64299	486	1_SC3	2	44	29	53	65
DivAnc	76127	233	1_SC3	1	0	0	0	0
DivAnc	57477	149	1_SC3	1	18	14	35	29
DivAnc	46793	1014	1_SC3	163	1068	540	1114	932
DivAnc	8094	35	1_SC3	2	0	0	0	0
DivAnc	102	488	1_SC3	89	408	231	529	395
DivAnc	49561	566	1_SC3	367	2294	1101	2165	1789
DivAnc	107	212	1_SC3	1	0	0	0	0
DivAnc	4148	159	1_SC3	458	2580	1303	2509	2167
DivAnc	16819	55	1_SC3	113	653	256	356	361
DivAnc	333	512	1_SC3	1	0	0	0	0
DivAnc	251174	809	1_SC3	1	25	14	52	13
DivAnc	2510	884	1_SC3	1	0	0	0	0
DivAnc	185917	423	1_SC3	36	172	60	108	82
DivAnc	85186	1004	1_SC3	225	1270	515	1133	996
DivAnc	102448	59	1_SC3	2	22	9	6	10
DivAnc	9411	500	1_SC3	49	293	158	227	165
DivAnc	64905	481	1_SC3	9	92	64	133	129
DivAnc	57076	930	1_SC3	246	1344	678	1457	1376
DivAnc	11611	159	1_SC3	324	1789	788	1678	1159
DivAnc	45444	874	1_SC3	193	1173	619	1424	1143
DivAnc	85430	912	1_SC3	1	0	0	0	0
DivAnc	10633	695	1_SC3	8	26	7	13	2
