"","BC_ID","Gen_0","Strain","Environment"
"1",1,-5.43007908873,"DivAnc","1_SC3"
"2",10,-5.73110908439,"DivAnc","1_SC3"
"3",16,-5.73110908439,"DivAnc","1_SC3"
"4",30,-3.76262613584,"DivAnc","1_SC3"
"5",38,-5.43007908873,"DivAnc","1_SC3"
"6",45,-3.14339811937,"DivAnc","1_SC3"
"7",49,-5.43007908873,"DivAnc","1_SC3"
"8",51,-5.43007908873,"DivAnc","1_SC3"
"9",53,-3.18952984045,"DivAnc","1_SC3"
"10",54,-5.43007908873,"DivAnc","1_SC3"
"11",56,-5.73110908439,"DivAnc","1_SC3"
"12",60,-5.73110908439,"DivAnc","1_SC3"
"13",85,-5.73110908439,"DivAnc","1_SC3"
"14",95,-3.11410874327,"DivAnc","1_SC3"
"15",99,-5.73110908439,"DivAnc","1_SC3"
"16",102,-3.78171907775,"DivAnc","1_SC3"
"17",107,-5.73110908439,"DivAnc","1_SC3"
"18",128,-2.78269611861,"DivAnc","1_SC3"
"19",151,-2.80322567406,"DivAnc","1_SC3"
"20",160,-3.70580321913,"DivAnc","1_SC3"
"21",179,-5.73110908439,"DivAnc","1_SC3"
"22",196,-3.07214424173,"DivAnc","1_SC3"
"23",208,-3.09764062881,"DivAnc","1_SC3"
"24",215,-3.22595910607,"DivAnc","1_SC3"
"25",226,-5.73110908439,"DivAnc","1_SC3"
"26",227,-3.87985073567,"DivAnc","1_SC3"
"27",229,-5.73110908439,"DivAnc","1_SC3"
"28",233,-3.24966645589,"DivAnc","1_SC3"
"29",235,-3.3750832272,"DivAnc","1_SC3"
"30",256,-3.15018410872,"DivAnc","1_SC3"
"31",276,-4.28395105305,"DivAnc","1_SC3"
"32",279,-3.44330735446,"DivAnc","1_SC3"
"33",284,-2.87377658796,"DivAnc","1_SC3"
"34",287,-5.73110908439,"DivAnc","1_SC3"
"35",288,-5.73110908439,"DivAnc","1_SC3"
"36",294,-3.68189106172,"DivAnc","1_SC3"
"37",300,-3.18456642091,"DivAnc","1_SC3"
"38",308,-3.48313581803,"DivAnc","1_SC3"
"39",333,-5.73110908439,"DivAnc","1_SC3"
"40",352,-5.73110908439,"DivAnc","1_SC3"
"41",353,-5.73110908439,"DivAnc","1_SC3"
"42",359,-4.14004447737,"DivAnc","1_SC3"
"43",379,-3.44330735446,"DivAnc","1_SC3"
"44",387,-2.8323839028,"DivAnc","1_SC3"
"45",388,-3.51100099635,"DivAnc","1_SC3"
"46",406,-5.43007908873,"DivAnc","1_SC3"
"47",411,-3.03475269566,"DivAnc","1_SC3"
"48",414,-5.73110908439,"DivAnc","1_SC3"
"49",420,-5.73110908439,"DivAnc","1_SC3"
"50",421,-5.25398782967,"DivAnc","1_SC3"
"51",430,-3.03387974163,"DivAnc","1_SC3"
"52",436,-2.82369772362,"DivAnc","1_SC3"
"53",445,-4.88601104438,"DivAnc","1_SC3"
"54",447,-5.73110908439,"DivAnc","1_SC3"
"55",472,-3.05624794365,"DivAnc","1_SC3"
"56",556,-5.25398782967,"DivAnc","1_SC3"
"57",562,-5.43007908873,"DivAnc","1_SC3"
"58",578,-3.41935522334,"DivAnc","1_SC3"
"59",593,-5.43007908873,"DivAnc","1_SC3"
"60",600,-2.84518274459,"DivAnc","1_SC3"
"61",606,-3.40682662909,"DivAnc","1_SC3"
"62",609,-2.99471258212,"DivAnc","1_SC3"
"63",610,-3.08372611428,"DivAnc","1_SC3"
"64",618,-5.43007908873,"DivAnc","1_SC3"
"65",628,-5.12904909306,"DivAnc","1_SC3"
"66",635,-5.43007908873,"DivAnc","1_SC3"
"67",637,-4.77686657495,"DivAnc","1_SC3"
"68",639,-5.73110908439,"DivAnc","1_SC3"
"69",675,-5.25398782967,"DivAnc","1_SC3"
"70",682,-3.42575771495,"DivAnc","1_SC3"
"71",694,-5.25398782967,"DivAnc","1_SC3"
"72",710,-5.73110908439,"DivAnc","1_SC3"
"73",722,-3.04447281513,"DivAnc","1_SC3"
"74",741,-5.73110908439,"DivAnc","1_SC3"
"75",744,-5.73110908439,"DivAnc","1_SC3"
"76",787,-5.73110908439,"DivAnc","1_SC3"
"77",800,-4.25398782967,"DivAnc","1_SC3"
"78",810,-4.95295783401,"DivAnc","1_SC3"
"79",814,-5.73110908439,"DivAnc","1_SC3"
"80",849,-3.62389911474,"DivAnc","1_SC3"
"81",854,-5.25398782967,"DivAnc","1_SC3"
"82",883,-3.20347918352,"DivAnc","1_SC3"
"83",884,-3.23834869537,"DivAnc","1_SC3"
"84",918,-5.73110908439,"DivAnc","1_SC3"
"85",930,-5.43007908873,"DivAnc","1_SC3"
"86",947,-4.31613573642,"DivAnc","1_SC3"
"87",949,-5.73110908439,"DivAnc","1_SC3"
"88",950,-5.43007908873,"DivAnc","1_SC3"
"89",960,-3.15592123946,"DivAnc","1_SC3"
"90",977,-3.28862931533,"DivAnc","1_SC3"
"91",979,-5.73110908439,"DivAnc","1_SC3"
"92",990,-5.25398782967,"DivAnc","1_SC3"
"93",1003,-5.43007908873,"DivAnc","1_SC3"
"94",1010,-5.12904909306,"DivAnc","1_SC3"
"95",1015,-5.25398782967,"DivAnc","1_SC3"
"96",1040,-3.72678771061,"DivAnc","1_SC3"
"97",1045,-3.47103769641,"DivAnc","1_SC3"
"98",1066,-5.43007908873,"DivAnc","1_SC3"
"99",1067,-5.73110908439,"DivAnc","1_SC3"
"100",1068,-3.73110908439,"DivAnc","1_SC3"
"101",1082,-4.43007908873,"DivAnc","1_SC3"
"102",1095,-3.21523524068,"DivAnc","1_SC3"
"103",1102,-3.31948937843,"DivAnc","1_SC3"
"104",1105,-5.73110908439,"DivAnc","1_SC3"
"105",1132,-2.94935370974,"DivAnc","1_SC3"
"106",1143,-3.17120245936,"DivAnc","1_SC3"
"107",1169,-5.73110908439,"DivAnc","1_SC3"
"108",1175,-4.77686657495,"DivAnc","1_SC3"
"109",1189,-2.9775260255,"DivAnc","1_SC3"
"110",1197,-5.12904909306,"DivAnc","1_SC3"
"111",1237,-5.73110908439,"DivAnc","1_SC3"
"112",1249,-3.61053515319,"DivAnc","1_SC3"
"113",1304,-5.73110908439,"DivAnc","1_SC3"
"114",1306,-5.03213908006,"DivAnc","1_SC3"
"115",1326,-3.19455064182,"DivAnc","1_SC3"
"116",1330,-4.00683321479,"DivAnc","1_SC3"
"117",1392,-5.73110908439,"DivAnc","1_SC3"
"118",1395,-4.18704104004,"DivAnc","1_SC3"
"119",1410,-5.43007908873,"DivAnc","1_SC3"
"120",1418,-3.89860017169,"DivAnc","1_SC3"
"121",1423,-5.25398782967,"DivAnc","1_SC3"
"122",1447,-5.25398782967,"DivAnc","1_SC3"
"123",1463,-5.73110908439,"DivAnc","1_SC3"
"124",1481,-3.97523422872,"DivAnc","1_SC3"
"125",1510,-3.15707781666,"DivAnc","1_SC3"
"126",1515,-3.05624794365,"DivAnc","1_SC3"
"127",1522,-5.43007908873,"DivAnc","1_SC3"
"128",1539,-2.74883785135,"DivAnc","1_SC3"
"129",1545,-5.43007908873,"DivAnc","1_SC3"
"130",1547,-5.43007908873,"DivAnc","1_SC3"
"131",1603,-5.73110908439,"DivAnc","1_SC3"
"132",1618,-3.10889506143,"DivAnc","1_SC3"
"133",1627,-3.59757017602,"DivAnc","1_SC3"
"134",1629,-5.25398782967,"DivAnc","1_SC3"
"135",1633,-3.74883785135,"DivAnc","1_SC3"
"136",1639,-5.43007908873,"DivAnc","1_SC3"
"137",1648,-3.17844086828,"DivAnc","1_SC3"
"138",1680,-5.73110908439,"DivAnc","1_SC3"
"139",1701,-5.73110908439,"DivAnc","1_SC3"
"140",1756,-3.70991978532,"DivAnc","1_SC3"
"141",1809,-5.73110908439,"DivAnc","1_SC3"
"142",1815,-3.20347918352,"DivAnc","1_SC3"
"143",1829,-3.55501782534,"DivAnc","1_SC3"
"144",1852,-3.60725744343,"DivAnc","1_SC3"
"145",1895,-4.10785979399,"DivAnc","1_SC3"
"146",1902,-5.43007908873,"DivAnc","1_SC3"
"147",1915,-5.73110908439,"DivAnc","1_SC3"
"148",1916,-5.43007908873,"DivAnc","1_SC3"
"149",1926,-4.8280190974,"DivAnc","1_SC3"
"150",1927,-3.70172530671,"DivAnc","1_SC3"
"151",1965,-5.03213908006,"DivAnc","1_SC3"
"152",1986,-3.21259514451,"DivAnc","1_SC3"
"153",1998,-5.73110908439,"DivAnc","1_SC3"
"154",2033,-2.98759931966,"DivAnc","1_SC3"
"155",2034,-4.88601104438,"DivAnc","1_SC3"
"156",2068,-3.8280190974,"DivAnc","1_SC3"
"157",2079,-5.73110908439,"DivAnc","1_SC3"
"158",2100,-3.21391318644,"DivAnc","1_SC3"
"159",2117,-5.25398782967,"DivAnc","1_SC3"
"160",2155,-4.05901122646,"DivAnc","1_SC3"
"161",2157,-2.42084071776,"DivAnc","1_SC3"
"162",2170,-2.51547152096,"DivAnc","1_SC3"
"163",2174,-3.37892656628,"DivAnc","1_SC3"
"164",2175,-3.42147891697,"DivAnc","1_SC3"
"165",2191,-4.03213908006,"DivAnc","1_SC3"
"166",2203,-5.43007908873,"DivAnc","1_SC3"
"167",2204,-5.73110908439,"DivAnc","1_SC3"
"168",2211,-2.98292105739,"DivAnc","1_SC3"
"169",2213,-5.73110908439,"DivAnc","1_SC3"
"170",2230,-3.15940025258,"DivAnc","1_SC3"
"171",2270,-5.73110908439,"DivAnc","1_SC3"
"172",2280,-3.32117596106,"DivAnc","1_SC3"
"173",2286,-4.21259514451,"DivAnc","1_SC3"
"174",2290,-5.73110908439,"DivAnc","1_SC3"
"175",2341,-3.45695123513,"DivAnc","1_SC3"
"176",2349,-2.62085616704,"DivAnc","1_SC3"
"177",2367,-4.88601104438,"DivAnc","1_SC3"
"178",2387,-3.36938124838,"DivAnc","1_SC3"
"179",2391,-3.16526126572,"DivAnc","1_SC3"
"180",2394,-5.25398782967,"DivAnc","1_SC3"
"181",2395,-3.03300853877,"DivAnc","1_SC3"
"182",2403,-4.14004447737,"DivAnc","1_SC3"
"183",2416,-5.73110908439,"DivAnc","1_SC3"
"184",2487,-2.95805439103,"DivAnc","1_SC3"
"185",2503,-3.93176853494,"DivAnc","1_SC3"
"186",2510,-5.73110908439,"DivAnc","1_SC3"
"187",2529,-5.43007908873,"DivAnc","1_SC3"
"188",2541,-5.25398782967,"DivAnc","1_SC3"
"189",2567,-3.12688303131,"DivAnc","1_SC3"
"190",2635,-3.18580196793,"DivAnc","1_SC3"
"191",2636,-5.73110908439,"DivAnc","1_SC3"
"192",2673,-5.73110908439,"DivAnc","1_SC3"
"193",2675,-3.56379174964,"DivAnc","1_SC3"
"194",2689,-3.55501782534,"DivAnc","1_SC3"
"195",2691,-3.45235548344,"DivAnc","1_SC3"
"196",2706,-5.73110908439,"DivAnc","1_SC3"
"197",2712,-5.73110908439,"DivAnc","1_SC3"
"198",2735,-5.73110908439,"DivAnc","1_SC3"
"199",2758,-3.14004447737,"DivAnc","1_SC3"
"200",2785,-3.19708297834,"DivAnc","1_SC3"
"201",2803,-5.73110908439,"DivAnc","1_SC3"
"202",2826,-5.12904909306,"DivAnc","1_SC3"
"203",2847,-2.9907463949,"DivAnc","1_SC3"
"204",2858,-5.73110908439,"DivAnc","1_SC3"
"205",2938,-5.73110908439,"DivAnc","1_SC3"
"206",2940,-3.85029549211,"DivAnc","1_SC3"
"207",2958,-5.73110908439,"DivAnc","1_SC3"
"208",2964,-5.73110908439,"DivAnc","1_SC3"
"209",2966,-3.55792281598,"DivAnc","1_SC3"
"210",2967,-5.73110908439,"DivAnc","1_SC3"
"211",2985,-5.73110908439,"DivAnc","1_SC3"
"212",2996,-5.73110908439,"DivAnc","1_SC3"
"213",3014,-5.73110908439,"DivAnc","1_SC3"
"214",3018,-5.73110908439,"DivAnc","1_SC3"
"215",3028,-3.04447281513,"DivAnc","1_SC3"
"216",3029,-2.96843052067,"DivAnc","1_SC3"
"217",3037,-5.73110908439,"DivAnc","1_SC3"
"218",3042,-3.46159614017,"DivAnc","1_SC3"
"219",3061,-4.77686657495,"DivAnc","1_SC3"
"220",3062,-5.12904909306,"DivAnc","1_SC3"
"221",3150,-5.12904909306,"DivAnc","1_SC3"
"222",3171,-5.25398782967,"DivAnc","1_SC3"
"223",3191,-5.73110908439,"DivAnc","1_SC3"
"224",3194,-3.17722605775,"DivAnc","1_SC3"
"225",3213,-3.42791302697,"DivAnc","1_SC3"
"226",3231,-2.46794661943,"DivAnc","1_SC3"
"227",3234,-5.73110908439,"DivAnc","1_SC3"
"228",3248,-5.73110908439,"DivAnc","1_SC3"
"229",3291,-3.11832522767,"DivAnc","1_SC3"
"230",3293,-5.43007908873,"DivAnc","1_SC3"
"231",3294,-4.15132548778,"DivAnc","1_SC3"
"232",3321,-5.73110908439,"DivAnc","1_SC3"
"233",3358,-3.50839261325,"DivAnc","1_SC3"
"234",3408,-3.32627536777,"DivAnc","1_SC3"
"235",3424,-2.92020480372,"DivAnc","1_SC3"
"236",3429,-5.73110908439,"DivAnc","1_SC3"
"237",3451,-4.65192783834,"DivAnc","1_SC3"
"238",3462,-5.43007908873,"DivAnc","1_SC3"
"239",3472,-5.73110908439,"DivAnc","1_SC3"
"240",3510,-2.85837025692,"DivAnc","1_SC3"
"241",3545,-5.73110908439,"DivAnc","1_SC3"
"242",3596,-3.14904572148,"DivAnc","1_SC3"
"243",3597,-5.73110908439,"DivAnc","1_SC3"
"244",3617,-5.73110908439,"DivAnc","1_SC3"
"245",3668,-3.59122999799,"DivAnc","1_SC3"
"246",3713,-5.03213908006,"DivAnc","1_SC3"
"247",3728,-5.73110908439,"DivAnc","1_SC3"
"248",3756,-2.93107972515,"DivAnc","1_SC3"
"249",3827,-5.73110908439,"DivAnc","1_SC3"
"250",3830,-3.81729523201,"DivAnc","1_SC3"
"251",3833,-3.66292322265,"DivAnc","1_SC3"
"252",3842,-5.25398782967,"DivAnc","1_SC3"
